song_title,artists,release_date,popularity,is_collaboration,duration_seconds,spotify_id,lyrics
Cruel Summer,Taylor Swift,2019-08-23,90,False,178.426,1BxfuPKGuaTgP7aM0Bbdwr,"(Yeah, yeah, yeah, yeah) Fever dream high in the quiet of the night You know that I caught it (Oh yeah, you're right, I want it) Bad, bad boy, shiny toy with a price You know that I bought it (Oh yeah, you're right, I want it) Killing me slow, out the window I'm always waiting for you to be waiting below Devils roll the dice, angels roll their eyes What doesn't kill me makes me want you more And it's new, the shape of your body It's blue, the feeling I've got And it's ooh, woah-oh It's a cruel summer It's cool, that's what I tell 'em No rules in breakable heaven But ooh, woah-oh It's a cruel summer with you Hang your head low in the glow of the vending machine I'm not dying (Oh yeah, you're right, I want it) We say that we'll just screw it up in these trying times We're not trying (Oh yeah, you're right, I want it) So cut the headlights, summer's a knife I'm always waiting for you just to cut to the bone Devils roll the dice, angels roll their eyes And if I bleed, you'll be the last to know, oh It's new, the shape of your body It's blue, the feeling I've got And it's ooh, woah-oh It's a cruel summer It's cool, that's what I tell 'em No rules in breakable heaven But ooh, woah-oh It's a cruel summer with you I'm drunk in the back of the car And I cried like a baby comin' home from the bar (Oh) Said, ""I'm fine,"" but it wasn't true I don't wanna keep secrets just to keep you And I snuck in through the garden gate Every night that summer just to seal my fate (Oh) And I scream, ""For whatever it's worth I love you, ain't that the worst thing you ever heard?"" He looks up, grinnin' like a devil It's new, the shape of your body It's blue, the feeling I've got And it's ooh, woah-oh It's a cruel summer It's cool, that's what I tell 'em No rules in breakable heaven But ooh, woah-oh It's a cruel summer with you I'm drunk in the back of the car And I cried like a baby comin' home from the bar (Oh) Said, ""I'm fine,"" but it wasn't true I don't wanna keep secrets just to keep you And I snuck in through the garden gate Every night that summer just to seal my fate (Oh) And I scream, ""For whatever it's worth I love you, ain't that the worst thing you ever heard?"" (Yeah, yeah, yeah, yeah)"
Fortnight (feat. Post Malone),"Taylor Swift, Post Malone",2024-04-18,85,True,228.965,2OzhQlSqBEmt7hmkYxfT6m,"I was supposed to be sent away But they forgot to come and get me I was a functioning alcoholic 'Til nobody noticed my new aesthetic All of this to say I hope you're okay But you're the reason And no one here's to blame But what about your quiet treason? And for a fortnight there, we were forever Run into you sometimes, ask about the weather Now you're in my backyard, turned into good neighbors Your wife waters flowers, I wanna kill her All my mornings are Mondays stuck in an endless February I took the miracle move-on drug, the effects were temporary And I love you, it's ruining my life I love you, it's ruining my life I touched you for only a fortnight I touched you, but I touched you And for a fortnight there, we were forever Run into you sometimes, ask about the weather Now you're in my backyard, turned into good neighbors Your wife waters flowers, I wanna kill her And for a fortnight there, we were together Run into you sometimes, comment on my sweater Now you're at the mailbox, turned into good neighbors My husband is cheating, I wanna kill him I love you, it's ruining my life I love you, it's ruining my life I touched you for only a fortnight I touched you, I touched you I love you, it's ruining my life I love you, it's ruining my life I touched you for only a fortnight I touched you, I touched you Thought of callin' ya, but you won't pick up 'Nother fortnight lost in America Move to Florida, buy the car you want But it won't start up 'til you touch, touch, touch me Thought of calling ya, but you won't pick up 'Nother fortnight lost in America Move to Florida, buy the car you want But it won't start up 'til I touch, touch, touch you"
cardigan,Taylor Swift,2020-07-24,85,False,239.56,4R2kfaDFhslZEMJqAFNpdd,"Vintage tee, brand new phone High heels on cobblestones When you are young, they assume you know nothing Sequin smile, black lipstick Sensual politics When you are young, they assume you know nothing But I knew you Dancin' in your Levi's Drunk under a streetlight, I I knew you Hand under my sweatshirt Baby, kiss it better, I And when I felt like I was an old cardigan Under someone's bed You put me on and said I was your favorite A friend to all is a friend to none Chase two girls, lose the one When you are young, they assume you know nothing But I knew you Playing hide-and-seek and Giving me your weekends, I I knew you Your heartbeat on the High Line Once in twenty lifetimes, I And when I felt like I was an old cardigan Under someone's bed You put me on and said I was your favorite To kiss in cars and downtown bars Was all we needed You drew stars around my scars But now I'm bleedin' 'Cause I knew you Steppin' on the last train Marked me like a bloodstain, I I knew you Tried to change the ending Peter losing Wendy, I I knew you Leavin' like a father Running like water, I And when you are young, they assume you know nothing But I knew you'd linger like a tattoo kiss I knew you'd haunt all of my what-ifs The smell of smoke would hang around this long 'Cause I knew everything when I was young I knew I'd curse you for the longest time Chasin' shadows in the grocery line I knew you'd miss me once the thrill expired And you'd be standin' in my front porch light And I knew you'd come back to me You'd come back to me And you'd come back to me And you'd come back And when I felt like I was an old cardigan Under someone's bed You put me on and said I was your favorite"
Lover,Taylor Swift,2019-08-23,86,False,221.306,1dGr1c8CrMLDpV6mPbImSI,"We could leave the Christmas lights up 'til January And this is our place, we make the rules And there's a dazzling haze, a mysterious way about you, dear Have I known you twenty seconds or twenty years? Can I go where you go? Can we always be this close? Forever and ever, ah Take me out and take me home You're my, my, my, my lover We could let our friends crash in the living room This is our place, we make the call And I'm highly suspicious that everyone who sees you wants you I've loved you three summers now, honey, but I want 'em all Can I go where you go? Can we always be this close? Forever and ever, ah Take me out and take me home (Forever and ever) You're my, my, my, my lover Ladies and gentlemen, will you please stand? With every guitar string scar on my hand I take this magnetic force of a man to be my lover My heart's been borrowed and yours has been blue All's well that ends well to end up with you Swear to be overdramatic and true to my lover And you'll save all your dirtiest jokes for me And at every table, I'll save you a seat, lover Can I go where you go? Can we always be this close? Forever and ever, ah Take me out and take me home (Forever and ever) You're my, my, my, my Oh, you're my, my, my, my Darling, you're my, my, my, my lover"
august,Taylor Swift,2020-07-24,85,False,261.922,3hUxzQpSfdDqwM3ZTFQY0K,"Salt air, and the rust on your door I never needed anything more Whispers of ""Are you sure?"" ""Never have I ever before"" But I can see us lost in the memory August slipped away into a moment in time 'Cause it was never mine And I can see us twisted in bedsheets August sipped away like a bottle of wine 'Cause you were never mine Your back beneath the sun Wishin' I could write my name on it Will you call when you're back at school? I remember thinkin' I had you But I can see us lost in the memory August slipped away into a moment in time 'Cause it was never mine And I can see us twisted in bedsheets August sipped away like a bottle of wine 'Cause you were never mine Back when we were still changin' for the better Wanting was enough For me, it was enough To live for the hope of it all Cancel plans just in case you'd call And say, ""Meet me behind the mall"" So much for summer love and saying ""us"" 'Cause you weren't mine to lose You weren't mine to lose, no But I can see us lost in the memory August slipped away into a moment in time 'Cause it was never mine And I can see us twisted in bedsheets August sipped away like a bottle of wine 'Cause you were never mine 'Cause you were never mine Never mine But do you remember? Remember when I pulled up and said ""Get in the car"" And then canceled my plans just in case you'd call? Back when I was livin' for the hope of it all, for the hope of it all ""Meet me behind the mall"" (Remember when I pulled up and said ""Get in the car"") (And then canceled my plans just in case you'd call?) (Back when I was livin' for the hope of it all, for the hope of it all) (""Meet me behind the mall"") Remember when I pulled up and said ""Get in the car"" And then canceled my plans just in case you'd call? Back when I was livin' for the hope of it all (For the hope of it all) For the hope of it all, for the hope of it all (For the hope of it all, for the hope of it all)"
I Can Do It With a Broken Heart,Taylor Swift,2024-04-18,83,False,218.004,4q5YezDOIPcoLr8R81x9qy,"I can read your mind ""She's having the time of her life"" There in her glittering prime The lights refract sequin stars off her silhouette every night I can show you lies (One, two, three, four) 'Cause I'm a real tough kid I can handle my shit They said, ""Babe, you gotta fake it 'til you make it"" and I did Lights, camera, bitch, smile Even when you wanna die He said he'd love me all his life But that life was too short Breaking down, I hit the floor All the piеces of me shatterеd as the crowd was chanting, ""More"" I was grinnin' like I'm winnin' I was hittin' my marks 'Cause I can do it with a broken heart (One, two, three, four) I'm so depressed, I act like it's my birthday every day I'm so obsessed with him, but he avoids me like the plague I cry a lot, but I am so productive, it's an art You know you're good when you can even do it with a broken heart I can hold my breath I've been doin' it since he left I keep finding his things in drawers Crucial evidence I didn't imagine the whole thing I'm sure I can pass this test (One, two, three, four) 'Cause I'm a real tough kid I can handle my shit They said, ""Babe, you gotta fake it 'til you make it"" and I did Lights, camera, bitch, smile In stilettos for miles He said he'd love me for all time But that time was quite short Breaking down, I hit the floor All the pieces of me shattered as the crowd was chanting, ""More"" I was grinnin' like I'm winnin' I was hittin' my marks 'Cause I can do it with a broken heart (One, two, three, four) I'm so depressed, I act like it's my birthday every day I'm so obsessed with him, but he avoids me (He avoids me), like the plague I cry a lot, but I am so productive, it's an art You know you're good when you can even do it with a broken heart You know you're good when you can even do it with a broken heart You know you're good And I'm good 'Cause I'm miserable (Haha) And nobody even knows Ah, try and come for my job"
Blank Space,Taylor Swift,2014-01-01,83,False,231.826,1u8c2t2Cy7UBoG4ArRcF5g,"Nice to meet you, where you been? I could show you incredible things Magic, madness, heaven, sin Saw you there and I thought ""Oh, my God, look at that face You look like my next mistake Love's a game, wanna play?"" Ayy New money, suit and tie I can read you like a magazine Ain't it funny? Rumors fly And I know you heard about me So, hey, let's be friends I'm dying to see how this one ends Grab your passport and my hand I can make the bad guys good for a weekend So it's gonna be forever Or it's gonna go down in flames? You can tell me when it's over, mm If the high was worth the pain Got a long list of ex-lovers They'll tell you I'm insane 'Cause you know I love the players And you love the game 'Cause we're young and we're reckless We'll take this way too far It'll leave you breathless, mm Or with a nasty scar Got a long list of ex-lovers They'll tell you I'm insane But I've got a blank space, baby And I'll write your name Cherry lips, crystal skies I could show you incredible things Stolen kisses, pretty lies You're the king, baby, I'm your queen Find out what you want Be that girl for a month Wait, the worst is yet to come, oh, no Screaming, crying, perfect storms I can make all the tables turn Rose garden filled with thorns Keep you second guessing, like ""Oh, my God, who is she?"" I get drunk on jealousy But you'll come back each time you leave 'Cause, darling, I'm a nightmare dressed like a daydream So it's gonna be forever Or it's gonna go down in flames? You can tell me when it's over, mm If the high was worth the pain Got a long list of ex-lovers They'll tell you I'm insane 'Cause you know I love the players And you love the game 'Cause we're young and we're reckless (Oh) We'll take this way too far It'll leave you breathless (Oh-oh), mm Or with a nasty scar Got a long list of ex-lovers They'll tell you I'm insane (Insane) But I've got a blank space, baby And I'll write your name Boys only want love if it's torture Don't say I didn't, say I didn't warn ya Boys only want love if it's torture Don't say I didn't, say I didn't warn ya So it's gonna be forever Or it's gonna go down in flames? You can tell me when it's over (Over), mm If the high was worth the pain Got a long list of ex-lovers They'll tell you I'm insane (I'm insane) 'Cause you know I love the players And you love the game (And you love the game) 'Cause we're young and we're reckless (Yeah) We'll take this way too far (Ooh) It'll leave you breathless, mm Or with a nasty scar (With a nasty scar) Got a long list of ex-lovers They'll tell you I'm insane But I've got a blank space, baby And I'll write your name"
I Don’t Wanna Live Forever (Fifty Shades Darker),"ZAYN, Taylor Swift",2017-11-09,84,True,247.16,55n9yjI6qqXh5F2mYvUc2y,Lyrics not in English
Don’t Blame Me,Taylor Swift,2017-11-10,85,False,236.413,1R0a2iXumgCiFb7HEZ7gUE,"Don't blame me, love made me crazy If it doesn't, you ain't doin' it right Lord, save me, my drug is my baby I'll be usin' for the rest of my life I've been breakin' hearts a long time And toyin' with them older guys Just playthings for me to use Somethin' happened for the first time In the darkest little paradise Shaking, pacin', I just need you For you, I would cross the line I would waste my time I would lose my mind They say, ""She's gone too far this time"" Don't blame me, love made me crazy If it doesn't, you ain't doin' it right Lord, save me, my drug is my baby I'll be usin' for the rest of my life Don't blame me, love made me crazy If it doesn't, you ain't doin' it right Oh Lord, save me, my drug is my baby I'll be usin' for the rest of my life My name is whatever you decide and I'm just gonna call you mine I'm insane, but I'm your baby (Your baby) Echoes (Echoes) of your name inside my mind Halo hidin' my obsession I once was poison ivy, but now, I'm your daisy And, baby, for you, I (I) would (Would) fall from grace Just (Just) to (To) touch your face If (If) you (You) walk away I'd beg ya on my knees to stay Don't blame me, love made me crazy If it doesn't, you ain't doin' it right Lord, save me, my drug is my baby I'll be usin' for the rest of my life (Yeah, ooh) Don't blame me, love made me crazy If it doesn't, you ain't doin' it right Oh Lord, save me, my drug is my baby I'll be usin' for the rest of my life I get so high, oh Every time you're, every time you're lovin' me You're lovin' me Trip of my life, oh Every time you're, every time you're touchin' me You're touchin' me Every time you're, every time you're lovin' me Oh Lord, save me, my drug is my baby I'll be usin' for the rest of my life (Usin' for the rest of my life, oh, woah) Don't blame me, love made me crazy If it doesn't, you ain't doin' it right (Doin' it right, no) Lord, save me, my drug is my baby I'll be usin' for the rest of my life (Oh) Don't blame me, love made me crazy (Ooh) If it doesn't, you ain't doin' it right (You ain't doin' it right) Oh Lord, save me, my drug is my baby I'll be usin' for the rest of my life (I'll be usin', I'll be usin') I get so high, oh Every time you're, every time you're lovin' me You're lovin' me Oh Lord, save me, my drug is my baby I'll be usin' for the rest of my life"
Anti-Hero,Taylor Swift,2022-10-21,84,False,200.69,0V3wPSX9ygBnCm8psDIegu,"I have this thing where I get older, but just never wiser Midnights become my afternoons When my depression works the graveyard shift, all of the people I've ghosted stand there in the room I should not be left to my own devices They come with prices and vices I end up in crisis (Tale as old as time) I wake up screaming from dreaming One day, I'll watch as you're leaving 'Cause you got tired of my scheming (For the last time) It's me, hi I'm the problem, it's me At teatime, everybody agrees I'll stare directly at the sun, but never in the mirror It must be exhausting always rooting for the anti-hero Sometimes, I feel like everybody is a sexy baby And I'm a monster on the hill Too big to hang out, slowly lurching toward your favorite city Pierced through the heart, but never killed Did you hear my covert narcissism I disguise as altruism Like some kind of congressman? (A tale as old as time) I wake up screaming from dreaming One day, I'll watch as you're leaving And life will lose all its meaning (For the last time) It's me, hi I'm the problem, it's me (I'm the problem, it's me) At teatime, everybody agrees I'll stare directly at the sun, but never in the mirror It must be exhausting always rooting for the anti-hero I have this dream my daughter-in-law kills me for the money She thinks I left them in the will The family gathers 'round and reads it and then someone screams out ""She's laughing up at us from Hell"" It's me, hi I'm the problem, it's me It's me, hi I'm the problem, it's me It's me, hi Everybody agrees, everybody agrees It's me, hi (Hi) I'm the problem, it's me (I'm the problem, it's me) At teatime (Teatime), everybody agrees (Everybody agrees) I'll stare directly at the sun, but never in the mirror It must be exhausting always rooting for the anti-hero"
